Name,StockCode,UPC,QtyOnHand,UnitPrice,Category
TYSON TOBACCO LEAF BLUNT HYBRID KNOCKOUT OG KING 1PK CONE,9956711001,499567110015,8,5.99,TOBACCO PRODUCTS
YOCAN FLICK CONCENTRATE & JUICE BOX MOD,9956711007,499567110077,1,35.0,DEVICES: BATTERIES & MODS
GRIND BUDDY,9956711008,499567110084,3,17.5,GRINDERS
NEON GRINDER,9956711009,499567110091,0,18.0,GRINDERS
FFJ 6MG MARBLED MAYHEM,9956711015,499567110152,1,12.0,VAPE JUICES
TWIST CRIMSON NO.1,9956711016,499567110169,1,12.0,VAPE JUICES
FFJ 0MG MARBLE MAYHEM,9956711019,499567110190,3,12.0,VAPE JUICES
FREE-ZEE POP,9956711018,499567110183,1,10.0,VAPE JUICES
VIRTUE VAPE 0MG DELUXE FRENCH DUDE,9956711020,499567110206,1,12.0,VAPE JUICES
HOOKAH STATION $80,0006300000,200063000003,1,80.0,HOOKAH RELATED
MYSTIC HOOKAH $80,0006400000,200064000002,1,80.0,HOOKAH RELATED
THREE KINGS CHARCOAL,0006500000,200065000001,7,3.0,HOOKAH RELATED
YOCAN KODO PRO BATTERY,9956711074,499567110749,0,12.99,DEVICES: BATTERIES & MODS
CYRIL HOOKAH TIPS BAG $6.50,"9956711081, 1174597355",711745973558,2,6.5,HOOKAH RELATED
HOOKAH TONGS,0010100000,200101000002,2,6.0,HOOKAH RELATED
CYRIL PREMIM HOSE,0010300000,200103000000,3,30.0,HOOKAH RELATED
CYRIL DISPOSABLE HOOKAH HOSE,"9175900100, 2540249892",200104000009,1,5.0,HOOKAH RELATED
AGNIE PREMIER $80 HOOKAH,0675900000,206759000005,1,80.0,HOOKAH RELATED
TROPIC DRIP GRINDER,0677700000,206777000001,2,12.99,GRINDERS
TROPIC TRIP GRINDER,0677800000,206778000000,0,16.99,GRINDERS
SPHERE GRINDER,0677900000,206779000009,1,12.0,GRINDERS
720 GRINDER,0678000000,206780000005,4,25.0,GRINDERS
3D GRINDER,0678200000,206782000003,1,17.99,GRINDERS
HERB GRINDER,0678300000,206783000002,1,19.99,GRINDERS
TROPIC PLASTIC MINI JAR,0678400000,206784000001,5,8.0,GRINDERS
TROPIC BIO GRINDER,9816884448,198168844489,4,8.0,GRINDERS
XL GRINDER,0678700000,206787000008,2,18.0,GRINDERS
GOAT GRINDER,0678600000,206786000009,2,39.99,GRINDERS
JAR GRINDER,0678900000,206789000006,1,9.99,GRINDERS
HAPPY HIPPIE GRINDER,0678800000,206788000007,3,21.99,GRINDERS
TROPIC GLOW GRINDER,0679000000,206790000002,2,20.0,GRINDERS
SMOQ MINI GRINDER,0679100000,206791000001,0,15.99,GRINDERS
GLASS GRINDER,0679200000,206792000000,5,12.0,GRINDERS
USB GRINDER,0679400000,206794000008,2,12.0,GRINDERS
AGNI MIST $85 HOOKAH,2848700000,228487000003,0,85.0,HOOKAH RELATED
NAKED SALT 35MG MELON KIWI,6322100000,263221000000,1,15.0,VAPE JUICES
AIR FACTORY 35MG MYSTERY,6329200000,263292000008,2,16.0,VAPE JUICES
SPACE HOOKAH $120,6341100000,263411000001,1,120.0,HOOKAH RELATED
CYRIL BOWL $7,6342200000,263422000007,4,7.0,HOOKAH RELATED
CYRIL HOOKAH BOWL $12.99,6342300000,263423000006,3,12.99,HOOKAH RELATED
420 GRINDER,6346000000,263460000007,1,20.0,GRINDERS
CRISTAL HOOKAH $89,6347600000,263476000008,1,89.0,HOOKAH RELATED
PACKMAN,6347700000,263477000007,0,45.0,THCA PRODUCTS
ICEKREAM CARTS 1GR CART,6348800000,263488000003,4,35.0,THCA PRODUCTS
ZOMO MANGO,8420000161,78416123,2,5.99,HOOKAH RELATED
CLOUD NURDZ 3MG WATERMELON BERRY,1243699649,012436996499,1,18.0,VAPE JUICES
CLOUD NURDZ SALT ICE 25MG GRAPE STRAWBERRY,1243699688,012436996888,1,16.0,VAPE JUICES
NAKED 3MG CREAM STRAWBERRY,2189383869,021893838693,0,18.0,VAPE JUICES
NAKED 0MG CREAM BANANA,2189383849,021893838495,1,18.0,VAPE JUICES
NAKED 3MG FUSION STRAWBERRY,2189383904,021893839041,0,18.0,VAPE JUICES
NAKED SALT 50MG HAWAIIAN POG,2189383964,021893839645,2,15.0,VAPE JUICES
NAKED SALT 50MG REALLY BERRY,2189383993,021893839935,1,15.0,VAPE JUICES
NAKED SALT 35MG MENTHOL MINT,2189384014,021893840146,0,15.0,VAPE JUICES
NAKED SALT 50MG MENTHOL MINT,2189384015,021893840153,1,15.0,VAPE JUICES
NAKED SALT 35MG MENTHOL BERRY,2189384000,021893840009,1,15.0,VAPE JUICES
NAKED SALT 35MG STRAWBERRY POM,2189384018,021893840184,0,15.0,VAPE JUICES
NAKED SALT 35 MG AMERICAN PATRIOTS,2189384022,021893840221,2,15.0,VAPE JUICES
NAKED SALT 35MG CUBAN BLEND,2189384026,021893840269,2,15.0,VAPE JUICES
SWISHER SWEETS 2PK BANANA SMASH,2590022982,025900226824,37,1.5,TOBACCO PRODUCTS
SWISHER SWEETS 2PK GRAPE,2590022734,025900227340,23,1.5,TOBACCO PRODUCTS
SWISHER SWEETS 2PK BLUEBERRY,2590022735,025900227357,21,1.5,TOBACCO PRODUCTS
SWISHER SWEETS 2PK DIAMONDS,2590022983,025900229832,21,1.5,TOBACCO PRODUCTS
SWISHER SWEETS 2PK HONEY BANANA,2590022989,025900229894,2,1.5,TOBACCO PRODUCTS
MARLBORO GOLD PACK KINGS CIGARETTES,2820000384,02838423,9,12.5,TOBACCO PRODUCTS
GAME LEAF WILD BERRY 2,3170005516,031700055168,5,1.49,TOBACCO PRODUCTS
GAME LEAF WHITE RUSSIAN,3170005816,031700058169,10,1.89,TOBACCO PRODUCTS
GAME LEAF WILD BERRY,3170005819,031700058190,9,1.89,TOBACCO PRODUCTS
CALIFORNIA HONEY INDICA ZKITTLEZ,4365221179,043652211790,0,35.0,THCA PRODUCTS
BLAZY SUSAN KING SLIM ROLLING PAPER,5149701161,051497011611,17,2.0,ROLLING PAPERS & CONES
BLAZY SUSAN 1/4 ROLLING PAPER,5149701162,051497011628,37,2.0,ROLLING PAPERS & CONES
BLAZY SUSAN KING 3PK CONE,"5149722170, 1013492027",051497221706,3,4.0,ROLLING PAPERS & CONES
BLAZY SUSAN 50PK TIPS,5149733154,051497331542,11,1.5,ROLLING PAPERS & CONES
INNEVAPE SALT 50MG HEISENBERG MENTHOL,5317636034,053176360348,1,15.0,VAPE JUICES
INNEVAPE SALT 50MG BLGN WAFFLES,5317636037,053176360379,1,15.0,VAPE JUICES
INNEVAPE 6MG HEISENBERG MENTHOL,5317636112,053176361123,0,15.0,VAPE JUICES
HEISENBERG 3MG MENTHOL,5317636111,053176361116,0,15.0,VAPE JUICES
INNEVAPE 3MG HEISENBERG,5317636107,053176361079,0,15.0,VAPE JUICES
INNEVAPE 0MG HEISENBERG THE BERG,5317636400,053176364001,1,18.0,VAPE JUICES
HEISENBERG GREEN 6MG,5317636402,053176364025,2,18.0,VAPE JUICES
INNEVAPE 3MG HEISENBERG BERRY,5317637801,053176378015,0,15.0,VAPE JUICES
INNEVAPE SALT 50MG THE BERG BERRY,5317637804,053176378046,1,16.0,VAPE JUICES
INNEVAPE 3MG HEISENBERG SOUR APPLE,5317637856,053176378565,2,15.0,VAPE JUICES
HEISENBERG 3MG MENTHOL BERRY,5317637818,053176378183,0,15.0,VAPE JUICES
INNEVAPE 6MG HEISENBERG SOUR APPLE,5317637857,053176378572,2,15.0,VAPE JUICES
INNEVAPE SALT 50MG HEISENBERG SOUR APPLE,5317637859,053176378596,0,15.0,VAPE JUICES
INNEVAPE SALT 50MG HEISENBERG SOUR APPLE MENTHOL,5317637864,053176378640,3,15.0,VAPE JUICES
BLACK & MILD ORIGINAL SINGLE PLASTIC TIP,7013710018,070137100188,27,1.5,TOBACCO PRODUCTS
BLACK & MILD ORIGINAL SINGLE WOOD TIP,7013710525,070137105251,16,1.5,TOBACCO PRODUCTS
BLACK & MILD JAZZ SINGLE PLASTIC TIP,7013711121,070137111214,24,1.5,TOBACCO PRODUCTS
BACKWOODS 5PK DARK LEAF,7161020281,071610202818,4,7.0,TOBACCO PRODUCTS
BACKWOODS 5PK BANANA,7161020309,071610203099,6,8.0,TOBACCO PRODUCTS
BACKWOODS 5PK VANILLA,7161020335,071610203358,6,7.0,TOBACCO PRODUCTS
DUTCH 2PK JAVA FUSION,7161020360,071610203600,14,1.5,TOBACCO PRODUCTS
DUTCH 2PK ROYAL HAZE,7161020362,071610203624,0,1.5,TOBACCO PRODUCTS
DUTCH 2PK BLEND SILVER,7161020361,071610203617,44,1.5,TOBACCO PRODUCTS
DUTCH 2PK SWEET FUSION,7161020363,071610203631,3,1.5,TOBACCO PRODUCTS
DUTCH 2PK BERRY FUSION,7161020364,071610203648,44,1.5,TOBACCO PRODUCTS
DUTCH 2PK BLUE DREAM FUSION,7161020365,071610203655,70,1.5,TOBACCO PRODUCTS
DUTCH 2PK HONEY FUSION,7161020366,071610203662,22,1.5,TOBACCO PRODUCTS
DUTCH 2PK OG FUSION,7161020369,071610203693,25,1.5,TOBACCO PRODUCTS
DUTCH 2PK IRISH FUSION,7161020367,071610203679,27,1.5,TOBACCO PRODUCTS
BACKWOODS 5PK CHOCOLATE,7161020422,071610204225,7,8.0,TOBACCO PRODUCTS
BACKWOODS 5PK HONEY,7161030183,071610301832,2,7.0,TOBACCO PRODUCTS
BACKWOODS 5PK HONEY BERRY,7161030186,071610301863,5,7.0,TOBACCO PRODUCTS
BACKWOODS 5PK ORIGINAL,7161030189,071610301894,9,7.0,TOBACCO PRODUCTS
BACKWOODS SINGLE ORIGINAL,7161030195,071610301955,13,2.0,TOBACCO PRODUCTS
BACKWOODS 5PK SWEET AROMATIC,7161030192,071610301924,7,7.0,TOBACCO PRODUCTS
BACKWOODS SINGLE SWEET AROMATIC,7161030198,071610301986,40,2.0,TOBACCO PRODUCTS
BACKWOODS SINGLE HONEY BERRY,7161030203,071610302037,36,2.0,TOBACCO PRODUCTS
BACKWOODS 5PK DARK STOUT,7161030272,071610302723,6,7.0,TOBACCO PRODUCTS
BACKWOODS SINGLE RUSSIAN CREAM,7161030306,071610303065,27,2.0,TOBACCO PRODUCTS
BACKWOODS 5PK RUSSIAN CREAM,7161030279,071610302792,3,7.0,TOBACCO PRODUCTS
DUTCH MASTERS 2PK PALMA,7161049933,071610499331,5,4.0,TOBACCO PRODUCTS
DUTCH MASTERS 3PK PALMA,7161049949,071610499492,22,3.5,TOBACCO PRODUCTS
DUTCH MASTERS 3PK GREEN,7161049953,071610499539,2,3.5,TOBACCO PRODUCTS
OCB BAMBOO 1/4 6PK CONE,7717012242,077170122429,0,3.0,ROLLING PAPERS & CONES
OCB BAMBOO KING 3PK CONE,7717012244,077170122443,8,3.0,ROLLING PAPERS & CONES
OCB BAMBOO MINI 10PK CONE,7717012269,077170122696,0,3.0,ROLLING PAPERS & CONES
JOB 1/4 ROLLING PAPER,7908300005,07908354,19,3.5,ROLLING PAPERS & CONES
OCB SOLAIRE KING SLIM + TIPS ROLLING PAPER,8640000067,08646733,7,4.0,ROLLING PAPERS & CONES
OCB ORGANIC HEMP 1/4 ROLLING PAPER,8640000022,08642232,14,3.5,ROLLING PAPERS & CONES
OCB SOPHISTIQUE 1/4 + TIPS ROLLING PAPER,8640000068,08646830,5,4.0,ROLLING PAPERS & CONES
JOB ORANGE 1/4 ROLLING PAPER,8640000083,08648333,97,1.0,ROLLING PAPERS & CONES
OCB PREMIUM 1/4 + TIPS ROLLING PAPER,8640090324,086400903240,26,4.0,ROLLING PAPERS & CONES
OCB BAMBOO KING SLIM ROLLING PAPER,8640090492,086400904926,11,3.5,ROLLING PAPERS & CONES
OCB PREMIUM KING SLIM + TIPS ROLLING PAPER,8640090326,086400903264,24,3.5,ROLLING PAPERS & CONES
DUD SWEET JELLY HOOKAH TIPS,9112891200,091128912009,8,2.0,HOOKAH RELATED
POD JUICE 0MG JEWEL MINT,0000306136,100003061364,2,18.0,VAPE JUICES
POD JUICE 3MG MANGO STRAWBERRY DRAGONFRUIT,0000306191,100003061913,0,18.0,VAPE JUICES
POD JUICE 6MG RAINBOW FREEZE,0000306221,100003062217,0,18.0,VAPE JUICES
POD JUICE 6MG MANGO STRAWBERRY DRAGONFRUIT,0000306192,100003061920,1,18.0,VAPE JUICES
YOCAN WULF ORBIT CONCENTRATE VAPORIZER KIT,0106100959,101061009596,1,65.0,DEVICES: BATTERIES & MODS
MASTER FUNGI CHOCOLATE BAR,5201557460,152015574608,1,45.0,EDIBLES
GET LOST GALAXY GRINDER,5580301931,155803019312,5,15.0,GRINDERS
42MM GRINDERS,5580399758,155803997580,10,10.0,GRINDERS
SMAKD CART 2GR SATIVA TANGIE,8834522301,288345223012,0,25.0,THCA PRODUCTS
SMAKD CART 2GR INDICA BLACK CHERRY OG,8834522304,288345223043,5,25.0,THCA PRODUCTS
SMAKD CART 2GR SATIVA HAWAIIAN PUNCH,8834522306,288345223067,3,25.0,THCA PRODUCTS
SMAKD CART 2GR HYBRID LAVA CAKE,8834522311,288345223111,0,25.0,THCA PRODUCTS
BB PEN 3GR THCA SATIVA STRAWBERRY COUGH,9823228125,598232281255,0,35.0,THCA PRODUCTS
BB PEN 3GR THCA  HYBRID PINK BURST,9823228126,598232281262,0,35.0,THCA PRODUCTS
BB PEN 3GR THCA INDICA PURPLE PANTY DROPPER,9823228127,598232281279,0,35.0,THCA PRODUCTS
COASTAL CLOUDS 6MG MANGO BERRIES,0017605290,600176052904,1,16.0,VAPE JUICES
JUICE HEAD 50MG MANGO STRAWBERRY,0060952923,600609529232,0,16.0,VAPE JUICES
AQUA 6MG OASIS,0175420423,601754204234,3,12.0,VAPE JUICES
AQUA 6MG FLOW,0175420431,601754204319,1,12.0,VAPE JUICES
ZYN 6MG COOL MINT,0924990003,609249900036,2,9.99,TOBACCO PRODUCTS
ZYN 6MG PEPPERMINT,0924990103,609249901033,2,9.99,TOBACCO PRODUCTS
ZYN 3MG CITRUS,0924990701,609249907011,0,9.99,TOBACCO PRODUCTS
ZYN 6MG CITRUS,0924990702,609249907028,0,9.99,TOBACCO PRODUCTS
ZYN 6MG SMOOTH,0924991402,609249914026,1,9.99,TOBACCO PRODUCTS
ZYN 6MG CHILL,0924992022,609249920225,3,9.99,TOBACCO PRODUCTS
PULSE THC DISPOSABLE HYBRID GRANNY APPLE 5GR,1499811294,614998112944,0,25.0,THCA PRODUCTS
PULSE THC DISPOSABLE INDICA BLUE DREAM 5GR,1499811295,614998112951,0,42.0,THCA PRODUCTS
PULSE THC DISPOSABLE SATIVA STRAWBERRY BANANA WHIP 5GR,1499811358,614998113583,0,42.0,THCA PRODUCTS
LOOSELEAF NATURAL DARK LEAF,1666396499,616663964995,5,12.0,TOBACCO PRODUCTS
TRUE 2PK BANANA HEMP WRAP,1968299901,619682999016,7,3.0,ROLLING PAPERS & CONES
GG GOLD GRABBA,4421610691,644216106912,10,3.0,TOBACCO PRODUCTS
NATURAL LEAF GG WOODS WILD BERRY,4421614686,644216146864,2,1.0,TOBACCO PRODUCTS
NATURAL LEAF GG RASTA GRABBA,4421614926,644216149261,22,3.0,TOBACCO PRODUCTS
CANDY KING 35 MG BLUE RAZZ,4421624019,644216240197,1,13.99,VAPE JUICES
CANDY KING 50MG STRAWBERRY WATERMELON BUBBLEGUM,4421624109,644216241095,0,13.99,VAPE JUICES
CANDY KING SALT 50MG GRAPE,4421624049,644216240494,1,16.0,VAPE JUICES
CANDY KING SALT 35MG TROPIC,4421624119,644216241194,2,13.99,VAPE JUICES
CANDY KING SALT ICE 50MG STRAWBERRY WATERMELON BUBBLEGUM,4421682827,644216828272,3,13.99,VAPE JUICES
CANDY KING 3MG HARD APPLE,4421690922,644216909223,0,18.0,VAPE JUICES
CANDY KING 6MG HARD APPLE,4421690932,644216909322,1,18.0,VAPE JUICES
CANDY KING SALT 50MG HARD APPLE,4421690982,644216909827,2,16.0,VAPE JUICES
BLUNT WRAP PLATINUM 2PK GRAPE,4453622611,644536226116,0,1.5,TOBACCO PRODUCTS
BLUNT WRAP PLATINUM 2PK BLUEBERRY BURST,4453622621,644536226215,5,1.5,TOBACCO PRODUCTS
BLUNT WRAP PLATINUM 2PK ZERO,4453622781,644536227816,11,1.5,TOBACCO PRODUCTS
FRIENDLY HIGH TOLERANCE 40MG SINGLE BLUE RASPBERRY,4735118014,647351180144,0,5.0,EDIBLES
BIG CHEAP BOTTLE 6MG BCB LEMON,4996463481,649964634816,2,12.0,VAPE JUICES
COUNTRY CLOUDS 0MG CORN BREAD PUDDIN,5214373758,652143737581,2,10.0,VAPE JUICES
COUNTRY CLOUDS 3MG CORN BREAD PUDDIN,5214373759,652143737598,1,10.0,VAPE JUICES
CANDY KING 3MG STRAWBERRY WATERMELON BUBBLEGUM,5334119706,653341197061,0,18.0,VAPE JUICES
CANDY KING 6MG STRAWBERRY WATERMELON BUBBLEGUM,5334119716,653341197160,1,18.0,VAPE JUICES
CANDY KING 0MG BATCH,5334119726,653341197269,1,18.0,VAPE JUICES
CANDY KING 3MG ICE STRAWBERRY WATERMELON BUBBLEGUM,5334135279,653341352798,2,18.0,VAPE JUICES
CANDY KING 3MG PEACHY RINGS,5334135399,653341353993,0,18.0,VAPE JUICES
CANDY KING 6MG PEACHY RINGS,5334135409,653341354099,1,18.0,VAPE JUICES
LOOSELEAF MINIS RESERVE,5823873495,658238734954,2,10.99,TOBACCO PRODUCTS
LOOSELEAF STRAWBERRY CRUSH,5823873483,658238734831,0,5.0,TOBACCO PRODUCTS
SMAKD GUMMIES 500MG BERRY BLAST 2PK,6549834486,665498344861,22,6.0,EDIBLES
MAGIC DOZE 5000MG BLUE ICE 10PK,7189146717,671891467175,1,42.99,EDIBLES
MAGIC DOZE 5000MG ORANGE CREAM 10PK,7189146718,671891467182,1,42.99,EDIBLES
FRUIT MONSTER 6MG ICE DOUBLE MANGO,7516230398,675162303988,2,18.0,VAPE JUICES
ELYXR 1000MG 10PK CHOCOLATE BITES *SALE *,7652552847,676525528475,3,10.0,EDIBLES
MINTS 6MG PEPPERMINT,7952396528,679523965280,1,20.0,VAPE JUICES
FIRE HEMP KING SLIM ROLLING PAPER,8075087677,680750876775,15,2.0,ROLLING PAPERS & CONES
STARLIGHT CHARCOAL LEMON,8396490049,683964900496,13,3.0,HOOKAH RELATED
STARLIGHT CHARCOAL MINT,8396490050,683964900502,10,3.0,HOOKAH RELATED
COASTAL CLOUDS 6MG MIXED BERRIES,8441799016,684417990163,1,16.0,VAPE JUICES
HIDDEN HILLS MINI PRE ROLLS HYBRID PEACH,8545771805,685457718052,0,6.0,THCA PRODUCTS
HIDDEN HILLS SATIVA RAINBOW WOWIE,8545782370,685457823701,0,6.0,THCA PRODUCTS
FIRE FLAVAS 2PK MANGO HEMP WRAP,8645705424,686457054249,7,1.0,ROLLING PAPERS & CONES
HIDDEN HILLS MINI PRE ROLLS INDICA STRAWBERRY,8545788214,685457882142,0,6.0,THCA PRODUCTS
FIRE FLAVAS 2PK WET CHERRY HEMP WRAP,8645705426,686457054263,8,1.0,ROLLING PAPERS & CONES
FIRE FLAVAS 2PK  APPLE MARTINI HEMP WRAP,8645705425,686457054256,16,1.0,ROLLING PAPERS & CONES
FIRE FLAVAS 2PK PINA COLADA HEMP WRAP,8645705428,686457054287,10,1.0,ROLLING PAPERS & CONES
FIRE FLAVAS 2PK ISLAND VANILLA HEMP WRAP,8645705429,686457054294,13,1.0,ROLLING PAPERS & CONES
FIRE FLAVAS 2PK BANANA CREAM HEMP WRAP,8705186916,687051869161,12,1.0,ROLLING PAPERS & CONES
FIRE FLAVAS 2PK HONEY HEMP WRAP,8705186924,687051869246,13,1.0,ROLLING PAPERS & CONES
FIRE FLAVAS 2PK RUSSIAN CREAM HEMP WRAP,8705186925,687051869253,13,1.0,ROLLING PAPERS & CONES
FIREWOODS 2PK TROPICAL MANGO CONE,8813066189,688130661898,8,2.1,ROLLING PAPERS & CONES
FIREWOODS 2PK BLUEBERRY MIST CONE,8813066192,688130661928,11,2.1,ROLLING PAPERS & CONES
FIREWOODS 2PK COGNAC CONE,8813066193,688130661935,10,2.1,ROLLING PAPERS & CONES
WICKED SHROOMZ- TRIPLE BERRY BONANZA GUMMIES 500MG,8990833960,689908339605,0,24.0,EDIBLES
WONDERLAND CHERRY NIRVANA,"9983856842, 9983856843",699838568433,0,32.0,EDIBLES
TREE O FIVE KING SLIM ROLLING PAPER,0336483894,703364838943,23,3.0,ROLLING PAPERS & CONES
TREE O FIVE 1/4 ROLLING PAPER,0336483900,703364839001,19,3.0,ROLLING PAPERS & CONES
TREE O FIVE KING 6PK CONE,0336483908,703364839087,24,2.0,ROLLING PAPERS & CONES
TREE O FIVE KING SLIM + TIPS ROLLING PAPER,0336483910,703364839100,8,4.0,ROLLING PAPERS & CONES
CLOUD NURDZ 6MG PINK GUAVA PASSION,0433560592,704335605922,0,18.0,VAPE JUICES
CLOUD NURDZ 3MG PINK GUAVA PASSION,0433560591,704335605915,0,18.0,VAPE JUICES
CLOUD NURDZ SALT 50MG GUAVA PASSIONFRUIT,0433564494,704335644945,2,15.0,VAPE JUICES
CLOUD NURDZ SALT STRAWBERRY KIWI,0433564498,704335644983,1,15.0,VAPE JUICES
BANANA BUTT 0MG LEFT CHEEK,0475183003,0704751830038,1,10.0,VAPE JUICES
305'S PURPLE FULL FLAVOR 100'S CIGARETTES,0921520210,709215202109,0,6.0,TOBACCO PRODUCTS
305'S BLUE KINGS CIGARETTES,0921530212,709215302120,0,6.0,TOBACCO PRODUCTS
305'S BLUE 100'S CIGARETTES,0921530214,709215302144,2,6.0,TOBACCO PRODUCTS
305'S MENTHOL KINGS CIGARETTES,0921540188,709215401885,0,6.0,TOBACCO PRODUCTS
FRUIT MONSTER 0MG ICE MIXED BERRY,1002278873,710022788731,2,18.0,VAPE JUICES
FRUIT MONSTER 3MG ICE MIXED BERRY,1002278874,710022788748,4,18.0,VAPE JUICES
FRUIT MONSTER 6MG ICE MIXED BERRY,1002278875,710022788755,3,18.0,VAPE JUICES
FRUIT MONSTER 24MG ICE MIXED BERRY,1002278876,710022788762,3,16.0,VAPE JUICES
FRUIT MONSTER 3MG ICE STRAWBERRY BANANA,1002278884,710022788847,3,18.0,VAPE JUICES
FRUIT MONSTER 6MG ICE STRAWBERRY BANANA,1002278885,710022788854,3,18.0,VAPE JUICES
FRUIT MONSTER 48MG ICE STRAWBERRY BANANA,1002278887,710022788878,3,16.0,VAPE JUICES
FRUIT MONSTER 24MG PASSIONFRUIT ORANGE GUAVA,1002278891,710022788915,3,16.0,VAPE JUICES
FRUIT MONSTER 48MG ICE PASSIONFRUIT ORANGE GUAVA,1002278892,710022788922,1,16.0,VAPE JUICES
FRUIT MONSTER 3MG MANGO PEACH GUAVA,1002278914,710022789141,0,18.0,VAPE JUICES
FRUIT MONSTER 6MG MANGO PEACH GUAVA,1002278915,710022789158,3,18.0,VAPE JUICES
FRUIT MONSTER 24MG MANGO PEACH GUAVA,1002278916,710022789165,4,16.0,VAPE JUICES
FRUIT MONSTER 3MG MIXED BERRY,1002278919,710022789196,2,18.0,VAPE JUICES
FRUIT MONSTER 6MG MIXED BERRY,1002278920,710022789202,2,18.0,VAPE JUICES
FRUIT MONSTER 3MG STRAWBERRY BANANA,1002278924,710022789240,3,18.0,VAPE JUICES
FRUIT MONSTER 6MG STRAWBERRY BANANA,1002278925,710022789257,2,18.0,VAPE JUICES
FRUIT MONSTER 48MG STRAWBERRY BANANA,1002278927,710022789271,4,16.0,VAPE JUICES
FRUIT MONSTER 3MG PASSIONFRUIT ORANGE GUAVA,1002278929,710022789295,2,18.0,VAPE JUICES
FRUIT MONSTER 24MG STRAWBERRY LIME,1002278941,710022789417,1,16.0,VAPE JUICES
RAW HEMP PLASTIC 79MM ROLLER,1616515278,716165152781,8,5.0,ROLLING PAPERS & CONES
RAW PREROLLED PERFECTO TIP BOX,1616515749,716165157496,0,14.99,ROLLING PAPERS & CONES
RAW HEMP PLASTIC 110MM ROLLER,1616515280,716165152804,1,5.0,ROLLING PAPERS & CONES
TRIP2 1/4 ROLLING PAPER,1616517200,716165172000,16,3.0,ROLLING PAPERS & CONES
TRIP2 KING ROLLING PAPER,1616517202,716165172024,6,3.5,ROLLING PAPERS & CONES
RAW ORGANIC HEMP 1/4 ROLLING PAPER,1616517417,716165174172,9,2.0,ROLLING PAPERS & CONES
RAW ORGANIC HEMP KING SLIM ROLLING PAPER,1616517421,716165174219,0,3.0,ROLLING PAPERS & CONES
RAW CONE 3PK CLASSIC KING,1616517457,716165174578,19,4.0,ROLLING PAPERS & CONES
RAW CONE 6PK CLASSIC 1/4,1616517711,716165177111,25,3.0,ROLLING PAPERS & CONES
RAW PAPER CLASSIC ROLLING PAPER 1/4,1616517731,716165177319,5,2.0,ROLLING PAPERS & CONES
RAW ORIGINAL TIPS,1616517739,716165177395,28,1.0,ROLLING PAPERS & CONES
RAW PAPER CLASSIC KING SLIM,1616517735,716165177357,49,3.0,ROLLING PAPERS & CONES
ELEMENTS ULTRA THIN RICE KING ROLLING PAPER,1616517781,716165177814,6,3.0,ROLLING PAPERS & CONES
JUICY JAY'S BANANA 1/4 ROLLING PAPER,1616517858,716165178583,21,2.5,ROLLING PAPERS & CONES
